createdAt,COUNT(aup.parameterId),parameterId,gpIntValue
2015-10-19,58,496,3.31034483
2015-10-19,58,497,3.12931034
2015-10-19,58,498,3.00000000
2015-10-20,33,492,2.75757576
2015-10-20,33,493,2.57575758
2015-10-20,34,494,3.10294118
2015-10-20,35,495,2.85714286
2015-10-20,32,496,3.40625000
2015-10-20,33,497,3.12121212
2015-10-20,33,498,2.93939394
2015-10-21,45,492,2.46666667
2015-10-21,45,493,2.31111111
2015-10-21,45,494,2.86666667
2015-10-21,46,495,3.08695652
2015-10-21,44,496,3.25000000
2015-10-21,45,497,2.95555556
2015-10-21,45,498,3.15555556
2015-10-22,61,492,2.68032787
2015-10-22,61,493,2.80327869
2015-10-22,61,494,2.82786885
2015-10-22,63,495,2.94444444
2015-10-22,61,496,3.30327869
2015-10-22,61,497,3.11475410
2015-10-22,61,498,3.02459016
2015-10-23,30,492,3.06666667
2015-10-23,30,493,3.06666667
2015-10-23,31,494,2.74193548
2015-10-23,30,495,3.53333333
2015-10-23,30,496,3.63333333
2015-10-23,30,497,3.23333333
2015-10-23,30,498,3.26666667
2015-10-24,2,492,3.50000000
2015-10-24,2,493,3.00000000
2015-10-24,2,494,2.50000000
2015-10-24,3,495,2.33333333
2015-10-24,2,496,3.50000000
2015-10-24,2,497,3.00000000
2015-10-24,2,498,3.00000000
2015-10-26,15,492,1.93333333
2015-10-26,16,493,2.25000000
2015-10-26,15,494,2.50000000
2015-10-26,18,495,2.94444444
2015-10-26,16,496,2.87500000
2015-10-26,16,497,2.81250000
2015-10-26,16,498,2.90625000
2015-10-27,7,492,3.00000000
2015-10-27,7,493,2.85714286
2015-10-27,7,494,2.57142857
2015-10-27,8,495,3.75000000
2015-10-27,7,496,3.85714286
2015-10-27,7,497,3.71428571
2015-10-27,7,498,3.14285714
2015-10-28,36,492,2.58333333
2015-10-28,37,493,2.59459459
2015-10-28,37,494,3.08108108
2015-10-28,39,495,2.82051282
2015-10-28,37,496,3.21621622
2015-10-28,37,497,3.00000000
2015-10-28,37,498,2.81081081
2015-10-29,71,492,2.57746479
2015-10-29,70,493,2.60000000
2015-10-29,72,494,2.70833333
2015-10-29,73,495,2.93150685
2015-10-29,71,496,3.49295775
2015-10-29,71,497,3.14084507
2015-10-29,70,498,3.15000000
2015-10-30,41,492,3.17073171
2015-10-30,41,493,3.07317073
2015-10-30,42,494,3.16666667
2015-10-30,42,495,2.90476190
2015-10-30,41,496,3.39024390
2015-10-30,41,497,2.92682927
2015-10-30,41,498,2.73170732
2015-10-31,3,492,3.66666667
2015-10-31,3,493,2.66666667
2015-10-31,4,494,2.50000000
2015-10-31,4,495,2.50000000
2015-10-31,3,496,2.66666667
2015-10-31,3,497,3.00000000
2015-10-31,3,498,3.00000000
2015-11-02,50,492,2.29000000
2015-11-02,50,493,2.02000000
2015-11-02,50,494,2.95333400
2015-11-02,53,495,2.83018868
2015-11-02,50,496,3.26666600
2015-11-02,50,497,2.98000000
2015-11-02,50,498,3.06000000
2015-11-03,26,492,3.15384615
2015-11-03,26,493,3.11538462
2015-11-03,27,494,3.07407407
2015-11-03,27,495,3.14814815
2015-11-03,26,496,3.50000000
2015-11-03,26,497,2.96153846
2015-11-03,26,498,3.03846154
2015-11-04,10,492,3.50000000
2015-11-04,10,493,3.80000000
2015-11-04,11,494,3.00000000
2015-11-04,10,495,3.40000000
2015-11-04,10,496,3.60000000
2015-11-04,10,497,3.30000000
2015-11-04,10,498,3.20000000
2015-11-05,52,492,2.73076923
2015-11-05,52,493,2.57692308
2015-11-05,53,494,2.64150943
2015-11-05,52,495,3.00000000
2015-11-05,52,496,3.32692308
2015-11-05,52,497,3.28846154
2015-11-05,52,498,3.11538462
2015-11-06,7,492,2.78571429
2015-11-06,7,493,2.71428571
2015-11-06,7,494,1.64285714
2015-11-06,6,495,3.50000000
2015-11-06,7,496,3.85714286
2015-11-06,7,497,4.00000000
2015-11-06,7,498,3.71428571
2015-11-07,1,492,2.00000000
2015-11-07,1,493,4.00000000
2015-11-07,1,494,2.00000000
2015-11-07,1,495,2.00000000
2015-11-07,1,496,4.00000000
2015-11-07,1,497,4.00000000
2015-11-07,1,498,3.00000000
2015-11-09,57,492,2.66666667
2015-11-09,56,493,2.27678571
2015-11-09,57,494,3.09649123
2015-11-09,57,495,2.85964912
2015-11-09,56,496,3.11011964
2015-11-09,57,497,2.91812807
2015-11-09,57,498,2.85964912
